State,Company,City,Number of Workers,WARN Received Date,Effective Date,Closure/Layoff,Temporary/Permanent,Union,Region,County,Industry,Notes
New Jersey,Amazon,Jersey City,77,03/01/2018,05/31/2018,,,,,,,
Kansas,Amazon,Lenexa,139,03/29/2017,,,,,3,,,
Texas,Whole Foods Market-Bolm Rd.,Austin,40,03/02/2017,04/30/2017,,,,Capital Area WDA,Travis,,
South Carolina,Amazon,North Charleston,149,02/15/2017,,Closure,,,,,,
Arizona,Whole Foods,Phoenix,55,02/10/2017,,,,,5,,,
Maryland,Whole Foods Market,,136,01/20/2017,02/12/2017,Plant Closure,,,8,,,"1521 Cabin Branch Rd, Landover, MD 20785"
New York,Amazon Corporate LLC - My Habits Business,New York,89,04/21/2016,07/20/2016,Plant Closing,,,New York City,New York,Catalog and Mail Order House,Economic
New York,Amazon Corporate LLC - My Habits Business,Brooklyn,5,04/21/2016,07/20/2016,Plant Closing,,,New York City,Kings,Catalog and Mail Order House,Economic
Texas,Whole Foods Market-Houston,Houston,100,05/01/2015,07/03/2015,,,,Gulf Coast WDA,Harris,,
Kansas,"Amazon.comKSDC, LLC",Coffeyville,634,10/16/2014,,,,,5,,,
California,Whole Foods-Mrs. Gooch'S Natural Foods Market,Vernon,150,04/18/2013,,,,,,,,
Texas,Whole Foods Market - Dallas Bakehouse,Dallas,70,01/02/2012,03/11/2012,,,,Dallas County WDA,Dallas,,
California,Whole Foods Market,Sherman Oaks,59,09/09/2010,,,,,,,,
Texas,Whole Foods Market - Southwest Distribution Center,Austin,60,07/27/2010,09/26/2010,,,,Capital Area WDB,Travis,,
Indiana,Amazon,Munster,45,03/25/2009,05/25/2009,Closure,,,,,493110,General Warehousing and Storage
Pennsylvania,Amazon,Chambersburg,88,03/01/2009,05/25/2009,Plant Closure,,,,Franklin,,
Florida,"Whole Foods Market Group, Inc.",Melbourne,57,05/06/2008,06/02/2008,,,,,,Retail Trade,
Texas,Whole Foods Market,Austin,52,04/15/2008,06/15/2008,,,,Capital Area WDB,Travis,,
Georgia,Amazon.com,Mcdonough,442,,02/05/2001,,,,,Henry,,2000074C
Georgia,Amazon-ATL5,Kennesaw,219,,04/01/2023,,,,4,Cobb,,GA202200067
Georgia,Whole Foods Market,Braselton,53,,07/02/2018,,,,9,Jackson,,
Georgia,Whole Foods Market,Augusta,70,,02/22/2017,,,,12,Richmond,,
Georgia,Whole Foods Market,Roswell,149,,02/12/2017,,,,3,Fulton,,
