State,Company,City,Number of Workers,WARN Received Date,Effective Date,Closure/Layoff,Temporary/Permanent,Union,Region,County,Industry,Notes
New York,"MGM Yonkers, Inc. dba Empire City Casino",Yonkers,890,05/06/2020,03/01/2020,Temporary Plant Closing,,,Mid-Hudson Region,Yonkers,Casino,Unforeseeable business circumstances prompted by COVID- 19
New York,"Crescent Hotels & Resorts, LLC (at the Crowne Plaza JFK Airport)",Jamaica,30,05/06/2020,03/23/2020,Temporary Plant Layoff,,,New York City,New York,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,RR Donnelley (Tucker Printers facility),Henrietta,33,05/05/2020,05/05/2020,Plant Closing,,,Finger Lakes Region,Monroe,Commercial Printing,Unforeseeable business circumstances prompted by COVID- 19
New York,"Marriott Hotel Services, Inc. dba New York Marriott East Side",New York,316,05/05/2020,08/03/2020,Plant Closing,,,New York City,New York,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,"Mid Rockland Imaging Partners, Inc.",New York,22,05/05/2020,03/24/2020,Plant Layoff,,,Mid-Hudson Region,Westchester,Diagnostic Imaging Center,Unforeseeable business circumstances prompted by COVID- 19
New York,Doubletree by Hilton New York Times Square West,New York,27,05/05/2020,03/16/2020,Temporary Plant Closing,,,New York City,New York,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,"Crescent Hotels & Resorts, LLC (at Aliz Times Square)",New York,19,05/05/2020,03/17/2020,Temporary Plant Closing,,,New York City,New York,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,"CPS5, LLC (CPS Events at the Plaza)",New York,125,05/04/2020,03/16/2020,Temporary Plant Closing,,,New York City,New York,Event Planners/Caterers,Unforeseeable business circumstances prompted by COVID- 19
New York,"Hartz Hotel Services, Inc. (manager of the Soho Grand Hotel)",New York,109,05/04/2020,05/15/2020,Temporary Plant Closing,,,New York City,New York,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,"Hartz Hotel Services, Inc. (manager of The Roxy Hotel-Tribeca)",New York,79,05/04/2020,05/15/2020,Temporary Plant Closing,,,New York City,New York,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,Michael Cetta Inc. dba Sparks Steak House,New York,71,05/04/2020,03/28/2020,Temporary Plant Closing,,,New York City,New York,Restaurant,Unforeseeable business circumstances prompted by COVID- 19
New York,Rosa Mexicano USQ LLC dba Rosa Mexicano Union Square,New York,105,05/04/2020,11/03/2019,Temporary Plant Closing,,,New York City,New York,Restaurant,Unforeseeable business circumstances prompted by COVID- 19
New York,"Crystal Run Healthcare, (including Crystal Run Ambulatory Surgery Center of Middletown, LLC)",Middletown,53,05/04/2020,04/20/2020,Temporary Plant Layoff,,,Mid-Hudson Region,Orange,Ambulatory Surgical Center,Unforeseeable business circumstances prompted by COVID-19
New York,"NRG Energy, Inc. (Green Mountain Energy NYC Office-Sales Agents)",New York,71,05/04/2020,05/04/2020,Temporary Plant Layoff,,,New York City,New York,Renewable Energy Provider,Unforeseeable business circumstances prompted by COVID- 19
New York,"Aqua Grill, Inc.",New York,65,05/01/2020,03/16/2020,Plant Closing,,,New York City,New York,"NYC's Best Oyster Bar, Fish and Seafood Restaurant",Unforeseeable business circumstances prompted by COVID- 19
